Date,Open,High,Low,Close,Volume
2023-03-01,100.25,101.50,99.75,100.80,1250000
2023-03-02,100.65,102.10,100.20,101.45,1350000
2023-03-03,101.30,102.75,100.85,102.25,1500000
2023-03-06,102.10,103.20,101.65,102.80,1200000
2023-03-07,102.90,103.75,102.40,103.15,1450000
2023-03-08,103.00,104.25,102.55,103.70,1600000
2023-03-09,103.85,104.60,103.30,104.10,1700000
2023-03-10,104.20,105.15,103.75,104.65,1800000
2023-03-13,104.50,105.80,104.10,105.30,1900000
2023-03-14,105.15,106.20,104.70,105.80,1750000
2023-03-15,105.65,106.75,105.20,106.30,1650000
2023-03-16,106.15,107.40,105.70,106.90,1550000
2023-03-17,106.75,107.80,106.30,107.20,1400000
2023-03-20,107.05,108.15,106.60,107.70,1300000
2023-03-21,107.55,108.60,107.10,108.10,1250000
2023-03-22,108.20,109.25,107.75,108.65,1150000
2023-03-23,108.80,109.80,108.35,109.20,1050000
2023-03-24,109.35,110.40,108.90,109.75,950000
2023-03-27,109.90,110.95,109.45,110.30,850000
2023-03-28,110.45,111.50,110.00,110.85,750000
